"V1","V2"
"Elaine Rodrigues","Pois a empresa que meu marido trabalha nunca que fazem isso pq meu marido se acidentou ano passado quase quebrou as duas pernas e os patrões nem isso fizeram ele ficou de cama com a perna roxa quase não conseguia andar e eu perguntei se eles não iam acionar o cat e até hj naaaaadaaaaa<f0><U+009F><U+0098><U+0092><f0><U+009F><U+0098><U+0092><f0><U+009F><U+0098><U+0092><f0><U+009F><U+0098><U+0092>"
"Paulinha X Lau Oliveira","Levei toda documentação. E tenho derito ao alcilio mais eles ficam enrrolando porq sab q tenho direito. Mais vou procura meus direitos"
"Paulo Sergio","E muito fácilmas a previdência colocar dificuldades tem que colocar na justiça que não anda"
"Andreia Souza","Meu marido tem 31anos e a 4anos sofre de bronquite asmatica e nao consegue trabalho Muitas pessoas me diseram q ele pode consegui um auxilio doenca Queria sabe se ele tm esse direito e como devo fazer"
"Rodrigo Evangelista Santos","PATRIMÔNIO NACIONAL."
"Paulinha X Lau Oliveira","Mais amanhã. Vou procura meus direitos. Ja falei com um advogado"
"Paulinha X Lau Oliveira","Mais ja passou do prazo. Ja vai fazer dois meses. Agora dia tres"
"Carlinhos Aniceto","Morosidade ou Demora nas análises de concessão ou recursos?"
"Paulinha X Lau Oliveira","E quendo ligo pra 135 dezem q ainta ta em análise."
"Amábile de Paris","TatiDuda Marciano Lunelli Diego Odorizzi"
"Jaqueline Leandro","gostaria de saber.meu pai se aposentou ele trabalhava em um super MERCADO há mais de 6 anos.eles tem a obrigação de pagar a saída dele???? Pois eles não querem pagar os direitos dele.só querem pagar o seguro e mais nada. Me ajudem?"
"Previdência Social","O depósito da gratificação é feito junto com a folha de pagamentos que começa a ser depositada no dia 24 de novembro e segue até o dia 7 de dezembro. Confira as datas de pagamento no link goo.gl/sywuB7"
"Emanuel Veloza Fernandes","Estranho este link FB não ter brasão ou insígnia da Previdência Social como saber se é mesmo oficial ou não... onde constatar?  Como fico sabendo o calendário do pagamento da primeira parcela qual época e onde sei?"
"Emanuel Veloza Fernandes","Tenho em mãos dois docs um deles de 2017 e outro de 2016 sendo que este mais novo (Declaração) vinha sendo feito sempre igual ou dentro de um mesmo molde já este novo muito estranho o texto e os dados parecendo que o funcionário não sabia o que estava fazendo por isso acho importante reclamar  ..."
"Luciene Silvestre","Bom diaquantos meses depois de da entrada no pedido de aposentadoria por idade o processo fica habilitado? Porque o meu pai está  esperando ja faz sete meses agente entra p consultar o número do processo e so da habilitado.Eu queria saber porquê o inss demora tantos meses p analisar um processo s ..."
"Divino Sergio De Farias Sergio Farias","Minha vizinha não recebeu a primeira parcela do décimo terceiro salário.....aonde ela deve verificar o pq não recebeu??? Pois o salário continua recebendo normalmente."
"Luiz Cesar Terosso Terosso","Eu quero saber quando que nois Aposentados irão receber a participação de lucros"
"Renato Lima","Gostaria de saber quais documentos precisa para pegar a declaração de dependentes habilitados a pensão e se precisa agendar ou não para ir na agencia da previdência ?"
"Jorge Teixeira","Boa noite amigos aposentadoria por invalidez previdenciária tem direito ?"
"Bernadete Drumond","É os atrasados de quem já recebe a desaposentacao??? quando saem..."
"Marcos Santos Silva","Bpc podia ter tmb as deficiênciente tmb presisa"
"Andreia L. Ribeiro","Eu não sabia quem ganha pagamento?"
"Adriana Cleberson","Boa tarde e quem está afastada por auxílio doença como funciona"
"Taís Cantagallo Cardelíquio","Pena que não são todos que recebem..."
"Luiz Rafael Teixeira","'DESDE O DIA 4/12 TENTO SACAR MEU BENEFICO NA AGENCIA BRADESCO/IGAPÓ/TOMAZ LANDIN/NATAL/RN"
"Adão Roldão","NÃO CONSIGO FAZER A PESQUISA INVENTARAM UMA SENHA QUE NINGUÉM CONSEGUE VER O VALOR DA APOSENTADORIA FAZEM MIL PERGUNTAS CRETINAS E NO FINAL NÃO RESOLVE NADA."
"Luis Antonio De Aguiar Aguiar","Não vai fazer falta pra vcs. Pra nós vai cobrir o saldo devedor.Nosso Natal vai ser de saco mucho.Contribuímos a vida toda agora estamos na pior.Salve--se quem puder."
"Nay Rodrigues","Quem recebe auxílio reclusão tem direito a décimo terceiro mesmo sendo dividido com outra criança?"
"Pabla Jiliberto","Uma consulta: para os que moram fora do Brasil....o calendario e o mesmo? Ou se demora mais?"
"Rodrigo Evangelista Santos","PROFUNDAS REVERÊNCIAS PS."
"Wellington Oliveira","Aí dona Maria Santos já dá pra fazer um vale <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>"
"Marlene Pizzio","Já ..legal !!!"
"Genival Carnauba","Eu gosto muito.!"
"Erika Gonçalves","Vander Ferreira sua mae vai receber"
"Tarciana Silveira","Gabriela Silva"
"Ingrid Alves","Sandra Alves"
"Jeane Batalha","Lourença Batalha"
"Previdência Social","O Histórico de Pagamento é um documento que comprova a renda dos beneficiários detalhando os valores e a data de pagamento do benefício. Primeiro acesso: entre no site meu.inss.gov.br (acesse Histórico de Créditos). Clique em Login . Caso ainda não possua senha faça seu cadastro. Tudo é realizado  ..."
"Merces Fabricio","Previdência Social pode responder o por que nao dar direito de uma paciente com cancer e fazendo  quimioterapia e sentindo os efeitos dessa quimio de receber seu beneficio ???? O por que foi negado mais uma vez o seu auxílio doença????Eu só quero ter esse beneficio enquanto eu estiver em tratament ..."
"Maria Albertina Rodrigues Strozzi","Sempre que eu tento fazer o cadastro aparece a mesma mensagem (divergências cadastrais). Liguei para o 135 e também não conseguiram. Já mandei um email e a resposta foi que eu deveria ir à uma agência do INSS."
"Moema Leal","Olá Previdência! Como obter um extrato ou certidão do tempo de contribuição? (Não sou funcionária pública). Obrigada por retornar!"
"Leandro Salviano","Minha mãe é India e trabalha em regime de economia familiar.  Ela já tem 55 anos.  Fomos até a Funai que nos deu a Declaração de atividade rural..  agendamos o atendimento .. que era pra o dia 21 Nov. 7:45 mas quando chegamos lá fomos informados que não poderíamos ser atendidos..o servidor explico ..."
"Sarita Bogado","Previdência Social #previdenciasocial Há necessidade de realizar maior controle e critério de avaliação de desempenho e responsabilidade dos servidores conforme estabelece a Carta Maior. Ademais vale mencionar que muitos dos servidores nem usam seus crachás como meio de identificá-los. E outros q ..."
"Altair Souza","Tenho cadastro e ulitmamente não tenho conseguido acessar os vinculos está dizendo que não há vinculo. Quando que o sistema estará funcionando corretamente?"
"Henrique Borba","Sou Analista de sistemas trabalho com Informática a mais de 25 anos mas nunca vi um site de consulta com tanta complicação para fazer um simples cadastro. Estou tentando cadastrar minha esposa mas a pergunta final nunca fecha não tem como selecionar pois nenhuma está de acordo. Este cadastro é ..."
"Renato Lima","Minha mãe é aposentada por idade e tem 70 anos recebe 1 salário mínimo queria saber se ela tem o direito de receber o 13º e tbm o pis ?"
"Margarida Gatti","Também ja tentei varias vezes e não consegui  falta de respeito com as pessoas  propaganda enganosa !!!!!!!! PQ ninguém  responsável não responde ???????"
"Edinei Tavares","tentei aki agora pouco  pelo o login so deu indisponivel no momento tente mais tarde..."
"Rosa Maria Pacini","Embora tenha conseguido acessar os histórico de benefícios anteriores no novo site estou tendo problemas para acessar o de Dezembro/2017 pois sempre que tento obtenho a informação de que os dados referentes ao período não conferem.Como assim??? Este novo site deixa muito a desejar para dizer o mí ..."
"Mirtes Aparecida Iani","O q está acontecendo com o novo sistema de impressao de extrato de benefício? Foi alterado  e ninguem consegue cadastar e muito menos imprimir...temos necessidade do documento em determinadas situações e ficamos de pés e mãos atados uma vez q nos exigem esse comprovante....por favor verifiquem o q  ..."
"Jorge Teixeira","eu não consigo acessar o meu  pois da sempre cpf inexixtente já fui no posto  e la me deram outra senha   cheguei em casa fiz tudo de novo e nada sempre a mesma resposta  o que será que esta havendo ?"
"Sérgio Luiz Viana","Pela quantidade de reclamações em relação ao cadastramento a Dataprev já deveria se manifestar  e explicar aos contribuintes o que realmente está acontecendo  com o sistema de cadastramento. Que a Dataprev venha a público dar as devidas respostas."
"Orlando Santos","quanto vem de aumento pra quem ganha mais de um salario to  sabendo quem ganha 1 salario vai ter 6 p cento quem ganha mais de um salario so vai ter 2 p 9 nao foi decidido que seria todos igual porque que mudou o temer que que todos ganha salario minimo temer cuidado poderia responder se procede isso ..."
"Rogeria Dias","Estou tentando imprimir um extrato do meu benefício há 2 anos e não consigo pela Internet não consigo me cadastrar de jeito nenhum!"
"Fábio José Lourenço","Gostaria de uma informação.  Fui demitido em novembro/2016 e desde fevereiro tô pagando como Facultativo desde Fev/2017. Por que quando vou consultar os pagamentos sai tudo como 11/2016 e se imprimo sai tudo certinho. É por que entrei na justiça contra o banco onde trabalhava? Tá dizendo nos indicad ..."
"Luiza Arruda","Hostaria q a previdência Social respondesse.Pq uma pessoa dar entrada no benificio rural e  reprovada cendo filha do proprietário da terra.O INSS achou pouca as provas.Se a pessoa é mae solteira nunca pode dar estido aos filhos.Como ela vai provar?Colocou em recurso  fazem 2 anos e nada?"
"Thiago Vieira Dias","Previdência Social minha esposa foi demitida em março de 2017 em maio ela ficou grávida o bebê vai nascer em fevereiro de 2018 segundo algumas pessoas ela terá direito a receber a licença maternidade gostaria de saber se essa informação procede"
"Sidney Gomes Torres","E no caso de pensionista? Não consigo cadastrar. As perguntas feitas não condiz com o tipo de pensão"
"Paulo Jose Carneiro Pires","Ola estou sem pagar um tempo mas quero voltar a pagar como saber o valor  dos anos que  não paguei?"
"Gilberto Monteiro Peral","Essa Dataprev esta uma porcaria antes funcionava esse serviço agora esta sempre com a mesma mensagem ""indisponível  no momento""."
"Marister Ribeiro Ribeiro","Faz tempo que venho tentando acessar meu INSS e tb só dá indisponível!"
"Simão Antony S Costa","Nunca consigo acessar pede pra fazer esse cadastro é dado um número volto para página para acessar coloco essa senha informada aparece a informação qye expirou. Enfim é maior enganação e dá raiva por tentar várias vezes e não conseguir."
"Rosana Freitas","O sistema é tão falho que já tentei várias vezes e não consegui."
"Previdência Social","#Alerta #Golpe A abordagem costuma acontecer da seguinte forma: os criminosos entram em contato por telefone com segurados e se identificam como integrantes do Conselho Nacional de Previdência oferecendo algum tipo de benefício. Afirmam que o aposentado ou pensionista teria direito a receber valor ..."
"Marcos Santos Silva","Em uma família com 4 pessoas a renda e so o bpc.2 pessoas com deficiência entao como fazer a renda de 1/4 para saber se tem direito.a renda e 937 .para 4 pessoas"
"Black Sabatino","'Quando o INSS pretende colocar um site para que os beneficiários consigam retirar o extrato de pagamento?  Estou a mais de 4 meses tentando imprimir e não consigo desde que alteraram o site. Obs"
"Jose Santos","Boa noite! quem já é pensionista e recebe pouco mais de um salario minimo 1053 pra ser mais exato e é aposentado com um salario minimo sofrerá algum corte? ou já é direito conquistado?"
"Isabel Oliveira","Deveriam investigar os funcionários da previdência que com certeza repassam os contatos e informações <f0><U+009F><U+0098><U+009E>  é mais fácil jogar a falha de vocês pra população é assim que funciona tudo que requer sigilo e segurança nesse país cheio de fraudes! Hipócritas!"
"Bruna Pobel","Boa noite.Preciso imprimir o extrato de pagamento de aposentadoria. Como faço?"
"Luis Antonio De Aguiar Aguiar","E DUPLO REDUTOR DUPLO DESCONTO DUPLA PENALIZAÇÃO na aposentadoria proporcional desconto de 50% no benefício não basta uma só penalização um só desconto por que duas penalizações??É golpe é extorsão????O que podemos considerar esse absurdo."
"Maria De Fatima Rufino","Eles ligaram pra casa e celular do aposentado dizendo que o governo fez redução de juros  pra que o aposentado pode contratar até 10 mil reais quando você faz só pega mil reais na conta depois eles não quer nem falar com a pessoa já  assinou o papel pra eles robar em agora que se dane e só pagar faz ..."
"Maria De Fatima Rufino","A seguradora pede para o aposentado pegar um papel do nis na agência do instituto dizendo que pra confirmação quando você acorda já passou o aposentado pra trás aí o aposentado tem que pagar em 70 vezes com juros e correção sem reclamar que não lembra eles vão pra outra cidade sacar o dinheiro e no  ..."
"Luiz Otávio","Queria saber como faço pra saber o extrato da aposentadoria pelo o celular"
